"filename", "language", "JSON", "JavaScript", "Log", "CSV", "HTML", "CSS", "JSON with Comments", "comment", "blank", "total"
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\Inputs\finalmissiondata.json", "JSON", 216, 0, 0, 0, 0, 0, 0, 0, 0, 216
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\Inputs\test1.json", "JSON", 740, 0, 0, 0, 0, 0, 0, 0, 2, 742
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\css\desktop-theme.css", "CSS", 0, 0, 0, 0, 0, -2, 0, -2, 0, -4
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\js\missionDataHandler.js", "JavaScript", 0, 158, 0, 0, 0, 0, 0, 16, 15, 189
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\js\optimization.js", "JavaScript", 0, 609, 0, 0, 0, 0, 0, 98, 81, 788
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\js\steering-module.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 8, 13, 37
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\js\test-data.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 0, 2, 94
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\js\test-helpers.js", "JavaScript", 0, 648, 0, 0, 0, 0, 0, 128, 97, 873
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\js\test-ui.js", "JavaScript", 0, 361, 0, 0, 0, 0, 0, 32, 29, 422
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\js\ui-navigation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -92, -2, -94
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\main.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 1, 1, 13
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\mission.html", "HTML", 0, 0, 0, 0, -7, 0, 0, 0, 0, -7
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\-1747640909207.log", "Log", 0, 0, 1620, 0, 0, 0, 0, 0, 4, 1624
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\aero_s1.csv", "CSV", 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\design_var.json", "JSON", 106, 0, 0, 0, 0, 0, 0, 0, 10, 116
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\error.json", "JSON", 986, 0, 0, 0, 0, 0, 0, 0, 0, 986
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\intial_control.csv", "CSV", 0, 0, 0, 17, 0, 0, 0, 0, 0, 17
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\mission_data_2025-05-16T08-27-58-272Z.json", "JSON", 760, 0, 0, 0, 0, 0, 0, 0, 0, 760
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\optimiz.json", "JSON", 333, 0, 0, 0, 0, 0, 0, 0, 0, 333
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\profile1.csv", "CSV", 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\profile2.csv", "CSV", 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\realdata.json", "JSON", 670, 0, 0, 0, 0, 0, 0, 0, 1, 671
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\testai_corrected.json", "JSON", 731, 0, 0, 0, 0, 0, 0, 0, 11, 742
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\testcase.json", "JSON", 863, 0, 0, 0, 0, 0, 0, 2, 93, 958
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\testcase.jsonc", "JSON with Comments", 0, 0, 0, 0, 0, 0, -872, -2, -96, -970
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\thrust_data.csv", "CSV", 0, 0, 0, -19, 0, 0, 0, 0, -1, -20
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\thrust_data_stage2.csv", "CSV", 0, 0, 0, -19, 0, 0, 0, 0, -1, -20
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\thrust_stage1.csv", "CSV", 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\thrust_stage2.csv", "CSV", 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"Total", "-", 5405, 1895, 1976, 68096, -7, -2, -872, 189, 331, 77011
